Value,ESP_Name
1430,Southern Coastal Plain Blackland Prairie and Woodland
1432,Lower Mississippi Alluvial Plain Grand Prairie
1433,East Gulf Coastal Plain Jackson Prairie and Woodland
1434,Texas-Louisiana Coastal Prairie
1435,East Gulf Coastal Plain Dune and Coastal Grassland
1436,Northern Atlantic Coastal Plain Dune and Swale
1437,Central and Upper Texas Coast Dune and Coastal Grassland
1438,Tamaulipan Savanna Grassland
1439,South Texas Lomas
1440,Tamaulipan Clay Grassland
1442,South Texas Sand Sheet Grassland
1444,Eastern Boreal Floodplain
1445,South Florida Dwarf Cypress Savanna
1446,South Florida Pine Flatwoods
1447,South Florida Cypress Dome
1449,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods
1450,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods
1451,West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods
1452,Atlantic Coastal Plain Peatland Pocosin and Canebrake
1453,Central Florida Pine Flatwoods
1454,East Gulf Coastal Plain Near-Coast Pine Flatwoods
1455,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods
1456,Northern Atlantic Coastal Plain Pitch Pine Lowland
1457,South-Central Interior/Upper Coastal Plain Wet Flatwoods
1458,West Gulf Coastal Plain Pine-Hardwood Flatwoods
1459,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland
1460,Southern Coastal Plain Nonriverine Cypress Dome
1461,Southern Coastal Plain Seepage Swamp and Baygall
1464,Acadian Near-Boreal Spruce Barrens
1466,Great Lakes Wooded Dune and Swale
1467,Tamaulipan Floodplain
1468,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall
1469,Eastern Great Plains Floodplain Systems
1470,Caribbean Coastal Wetland Systems
1471,Central Interior and Appalachian Floodplain Systems
1472,Central Interior and Appalachian Riparian Systems
1473,Gulf and Atlantic Coastal Plain Floodplain Systems
1474,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
1475,Laurentian-Acadian Floodplain Systems
1476,Tamaulipan Riparian Systems
1477,Boreal Acidic Peatland Systems
1478,Caribbean Swamp Systems
1479,Central Interior and Appalachian Swamp Systems
1480,Gulf and Atlantic Coastal Plain Swamp Systems
1481,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp
1482,Great Plains Prairie Pothole
1483,South Florida Everglades Sawgrass Marsh
1485,East Gulf Coastal Plain Savanna and Wet Prairie
1486,Texas-Louisiana Saline Coastal Prairie
1488,Eastern Great Plains Wet Meadow-Prairie-Marsh
1489,Floridian Highlands Freshwater Marsh
1490,Gulf and Atlantic Coastal Plain Tidal Marsh Systems
1491,Acadian Salt Marsh and Estuary Systems
1492,Great Lakes Coastal Marsh Systems
1493,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems
1494,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
1495,Western Great Plains Depressional Wetland Systems
1498,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems
1501,Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest
1503,Chihuahuan Loamy Plains Desert Grassland
1504,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland
1506,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods
1507,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland
1509,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest
1510,Northern Crowley`s Ridge Sand Forest
1513,Lower Mississippi River Flatwoods
1517,Paleozoic Plateau Bluff and Talus
1518,North-Central Interior Wet Flatwoods
1519,East-Central Texas Plains Post Oak Savanna and Woodland
1522,Northern Atlantic Coastal Plain Heathland and Grassland
1523,Edwards Plateau Dry-Mesic Slope Forest and Woodland
1524,Edwards Plateau Mesic Canyon
1525,Edwards Plateau Riparian
1526,Laurentian-Acadian Swamp Systems
1600,Western North American Boreal White Spruce Forest
1601,Western North American Boreal Treeline White Spruce Woodland
1602,Western North American Boreal Spruce-Lichen Woodland
1603,Western North American Boreal White Spruce-Hardwood Forest
1604,Western North American Boreal Mesic Black Spruce Forest
1605,Western North American Boreal Mesic Birch-Aspen Forest
1606,Western North American Boreal Dry Aspen-Steppe Bluff
1607,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland
1608,Alaska Sub-boreal Avalanche Slope Shrubland
1609,Alaska Sub-Boreal Mesic Subalpine Alder Shrubland
1610,Western North American Boreal Mesic Scrub Birch-Willow Shrubland
1611,Western North American Sub-boreal Mesic Bluejoint Meadow
1612,Western North American Boreal Dry Grassland
1613,Western North American Boreal Active Inland Dune
1614,Western North American Boreal Montane Floodplain Forest and Shrubland
1615,Western North American Boreal Lowland Large River Floodplain Forest and Shrubland
1616,Western North American Boreal Riparian Stringer Forest and Shrubland
1617,Western North American Boreal Shrub and Herbaceous Floodplain Wetland
1618,Western North American Boreal Herbaceous Fen
1619,Western North American Boreal Sedge-Dwarf-Shrub Bog
1620,Western North American Boreal Low Shrub Peatland
1621,Western North American Boreal Black Spruce Dwarf-tree Peatland
1622,Western North American Boreal Black Spruce Wet-Mesic Slope Woodland
1623,Western North American Boreal Black Spruce-Tamarack Fen
1624,Western North American Boreal Deciduous Shrub Swamp
1625,Western North American Boreal Freshwater Emergent Marsh
1626,Western North American Boreal Wet Meadow
1627,Western North American Boreal Freshwater Aquatic Bed
1628,Western North American Boreal Low Shrub-Tussock Tundra
1629,Western North American Boreal Tussock Tundra
1630,Western North American Boreal Wet Black Spruce-Tussock Woodland
1631,Western North American Boreal Alpine Dwarf-Shrub Summit
1632,Western North American Boreal Alpine Talus and Bedrock
1633,Western North American Boreal Alpine Mesic Herbaceous Meadow
1634,Western North American Boreal Alpine Dryas Dwarf-Shrubland
1635,Western North American Boreal Alpine Ericaceous Dwarf-Shrubland
1636,Western North American Boreal Alpine Dwarf-Shrub-Lichen Shrubland
1637,Western North American Boreal Alpine Floodplain
1638,Alaska Arctic Mesic Alder Shrubland
1639,Alaska Arctic Mesic-Wet Willow Shrubland
1640,Aleutian Mesic-Wet Willow Shrubland
1642,Aleutian Kenai Birch-Cottonwood-Poplar Forest
1643,Alaskan Pacific Maritime Alpine Dwarf Shrubland
1644,Alaskan Pacific Maritime Sitka Spruce Forest
1645,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow
1646,Alaskan Pacific Maritime Western Hemlock Forest
1648,Alaskan Pacific Maritime Mountain Hemlock Forest
1649,Alaskan Pacific Maritime Subalpine Mountain Hemlock Woodland
1650,Alaskan Pacific Maritime Periglacial Woodland and Shrubland
1651,Aleutian Mesic Herbaceous Meadow
1652,Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland
1653,Alaskan Pacific Maritime Mesic Herbaceous Meadow
1654,Alaskan Pacific Maritime Sitka Spruce Beach Ridge
