system:index,alarm_date,cbi_over,cbi_over_t,cbi_tot,cbi_tot_t,fire_name,id,source,.geo
0000cd16f81d83de0173,992156400000,1.08,,,,Hoover,193,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.5106395751641,37.652091622844154]}"
00008c10446555c3a8d8,992156400000,1.55,,,,Hoover,192,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.51000180252643,37.65032102864731]}"
0000f5520dcb214364e1,992156400000,0.74,,,,Hoover,237,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.50521224570548,37.65315317855079]}"
0000dce586fb03e6bdf1,992156400000,2.38,,,,Hoover,216,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.50246693816386,37.655103760819316]}"
00004eb6f1cdd90f9577,992156400000,2.55,,,,Hoover,184,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.50064660956768,37.65625072516952]}"
00009407148d272533a2,992156400000,,,,,Hoover,176,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.50095182237645,37.65228122611992]}"
00002f856018fad0bf69,992156400000,0.5,,,,Hoover,202,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49753418715225,37.6455846676322]}"
00004bd5aaa9fe8284b2,992156400000,3.0,,,,Hoover,182,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49497742757337,37.64436827783092]}"
0000e12cf7f8e80e9a75,992156400000,1.53,,,,Hoover,226,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.4975591234335,37.638897988686]}"
00006057f3e93b569d40,992156400000,2.8,,,,Hoover,215,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49342680982302,37.64003076525699]}"
0000dcdbc5a42e4c776a,992156400000,2.98,,,,Hoover,181,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.4953815166073,37.64289994200563]}"
0000d6d66d0c84394911,992156400000,2.59,,,,Hoover,183,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49156518427951,37.64332310790923]}"
0000f1e3a97d03039286,992156400000,2.6,,,,Hoover,180,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49332952710998,37.641186230836304]}"
00008d4562d8114892e2,992156400000,2.93,,,,Hoover,179,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49044761174626,37.64176079511415]}"
