system:index,RdEVI,RdNBR,RdNBR2,RdNDVI,aspect,date,elev,focal_mean_evi_1,focal_mean_evi_2,focal_mean_evi_3,focal_mean_evi_4,focal_mean_ndvi_1,focal_mean_ndvi_2,focal_mean_ndvi_3,focal_mean_ndvi_4,focal_mean_ndwi_1,focal_mean_ndwi_2,focal_mean_ndwi_3,focal_mean_ndwi_4,het_evi_1,het_evi_2,het_evi_3,het_evi_4,het_ndvi_1,het_ndvi_2,het_ndvi_3,het_ndvi_4,het_ndwi_1,het_ndwi_2,het_ndwi_3,het_ndwi_4,ordinal_day,lat,lon,median_evi,median_ndvi,median_ndwi,satellite,slope,.geo
0000ccfcc03624af6cdf_250,31.40791813,21.43826741,9.582811998,14.26746005,278,8.40006E+11,2077,2.054798391,1.983509961,1.936520304,1.920167235,0.724394202,0.722905993,0.717417717,0.714065135,0.518561482,0.48751986,0.470099747,0.462696463,0.163284241,0.203539173,0.221132042,0.247341233,0.017732168,0.01871686,0.028484887,0.034775792,0.02957048,0.046379546,0.062144448,0.074405681,226,37.86412397,-119.782393,1.902239646,0.729648829,0.53150177,5,19,
0000ccfcc03624af6cdf_251,7.888901875,2.25682828,-2.476098797,2.490514892,112,8.40006E+11,2329,1.467847043,1.598008956,1.609005444,1.597704623,0.59354794,0.605148852,0.612015426,0.614728451,0.164189979,0.197497129,0.208266497,0.214056224,0.167289005,0.241066307,0.299163634,0.300341571,0.025997445,0.053085428,0.068620418,0.070252942,0.038438763,0.084008744,0.113396254,0.113958496,226,37.89942776,-119.6805241,1.464625988,0.557369173,0.11592707,5,3,
0000ccfcc03624af6cdf_252,10.25429969,2.403603141,0.121007129,3.042807918,290,8.40006E+11,1833,2.121898542,1.998114207,1.93965934,1.865806012,0.753731251,0.742121875,0.731205285,0.709125221,0.438650489,0.412207931,0.39379254,0.349771202,0.149187918,0.201863653,0.209841943,0.280359841,0.017171958,0.028196079,0.031580707,0.066339827,0.030390501,0.049043775,0.06349086,0.101072587,226,37.93338408,-119.7772726,2.135850907,0.758050501,0.429238975,5,16,
0000ccfcc03624af6cdf_253,3.593249857,6.153010076,2.699771478,2.231801771,105,8.40006E+11,2147,1.099287986,1.275033816,1.409525151,1.512194399,0.457787275,0.514400363,0.555153608,0.586456895,0.007916876,0.099824525,0.160873398,0.208547711,0.159671797,0.263992325,0.306734818,0.340552241,0.037665593,0.06910253,0.079141254,0.085658155,0.049764894,0.098825536,0.124608588,0.145884641,226,37.86331549,-119.7481672,0.972360146,0.414723039,-0.005046481,5,4,
0000ccfcc03624af6cdf_254,0.217844741,2.03718575,-0.074136058,1.436195402,113,8.40006E+11,1524,1.806520744,1.820671505,1.769418584,1.655752217,0.716569662,0.71887666,0.706944108,0.682131708,0.383535028,0.379575253,0.353225291,0.31899026,0.215206717,0.218483197,0.253675314,0.300674327,0.059833459,0.059340731,0.069019298,0.082982397,0.098677091,0.102058065,0.127493628,0.139189135,226,37.96222,-119.935466,1.769810659,0.6908108,0.374391288,5,18,
0000ccfcc03624af6cdf_255,8.096160714,-0.482072521,-0.666208594,2.215152209,198,8.40006E+11,1520,0.768626125,0.850482006,0.885447058,0.922417376,0.288563073,0.324499577,0.341066778,0.346879184,-0.152363449,-0.123794869,-0.111843407,-0.105711013,0.108420967,0.154668945,0.160721449,0.16198874,0.025204252,0.051964542,0.049867602,0.050685648,0.023997445,0.050066766,0.053891464,0.057480635,226,37.96329798,-119.7802371,0.715910938,0.277479887,-0.179862306,5,12,
0000ccfcc03624af6cdf_256,6.613543996,5.651341436,2.065231256,3.05149591,285,8.40006E+11,1384,1.926904737,1.966093471,1.91731141,1.855546693,0.6910851,0.681747794,0.664070368,0.644682825,0.416813493,0.381974965,0.353650063,0.333349377,0.237312056,0.38482314,0.405421362,0.40500914,0.04137528,0.071050947,0.084701159,0.09592706,0.057172831,0.101186807,0.128615651,0.136699693,226,37.97165231,-119.9079775,2.041876574,0.725797415,0.481339723,5,23,
0000ccfcc03624af6cdf_258,22.80016048,18.3953661,7.222640855,8.347550562,169,8.40006E+11,1496,1.355524761,1.390515491,1.403115888,1.429368093,0.57207197,0.57511878,0.580076218,0.586067736,0.125930682,0.131679043,0.134209961,0.138168767,0.152334274,0.17979824,0.205603766,0.256173412,0.031048029,0.042274557,0.045882259,0.053184705,0.030252404,0.054313714,0.064772529,0.07139859,226,37.8676274,-119.8435683,1.422067901,0.561897993,0.082703695,5,17,
0000ccfcc03624af6cdf_259,3.65053365,7.568135667,6.610485613,2.012579481,120,8.40006E+11,1528,1.891453142,1.888856888,1.828163734,1.806826591,0.728049457,0.717687905,0.705208659,0.702242672,0.432801992,0.417737484,0.393251806,0.380965143,0.181241819,0.186804892,0.201243918,0.198543384,0.023441959,0.026569791,0.037989723,0.03882496,0.028908359,0.051125676,0.056288061,0.060157449,226,37.9670709,-119.8974672,1.780718743,0.705756903,0.435789466,5,15,
0000ccfcc03624af6cdf_260,11.63312138,7.978330974,6.509537864,4.011759692,220,8.40006E+11,1883,1.887731201,1.970909423,1.979649324,2.002043784,0.688724756,0.702109158,0.706305265,0.707144022,0.404775679,0.443200886,0.452790856,0.457363278,0.142355961,0.193654508,0.238176943,0.244426981,0.021432107,0.02262271,0.028850056,0.029307041,0.04331904,0.047611792,0.0544526,0.059791935,226,37.88999545,-119.7718828,1.921559685,0.68495661,0.407675475,5,4,
0000ccfcc03624af6cdf_261,14.17334535,11.01400639,6.748182451,6.286415929,246,8.40006E+11,1549,2.061874676,1.936515186,1.871994444,1.763804365,0.727472067,0.688517332,0.666444898,0.637085617,0.321864665,0.285255492,0.25615412,0.219985276,0.158997446,0.28574481,0.372660547,0.452728099,0.039106466,0.080662613,0.110506323,0.126189492,0.035911074,0.086277703,0.11658533,0.143723666,226,37.90912957,-119.8028746,2.067790531,0.746975482,0.36470589,5,11,
0000ccfcc03624af6cdf_262,2.62437409,1.997656309,1.969716377,0.203262103,125,8.40006E+11,892,1.514559482,1.423771723,1.501260769,1.521632298,0.413444072,0.395345211,0.433219731,0.445545852,0.048630726,0.031407062,0.033706605,0.046573628,0.348681924,0.399859633,0.469653492,0.495528175,0.089228379,0.098097852,0.124158561,0.14721136,0.101727534,0.118754487,0.131063219,0.126134246,226,37.89727181,-119.8583905,1.272637956,0.393799096,0.034713663,5,14,
0000ccfcc03624af6cdf_263,14.09948745,8.55517628,5.430272757,6.793212575,292,8.40006E+11,1921,1.851604671,1.852098464,1.842970117,1.822157552,0.710124075,0.70288229,0.698924601,0.696545482,0.381564349,0.369512945,0.354074121,0.347789049,0.168110168,0.181771316,0.184593479,0.200063755,0.023094426,0.023084151,0.023363617,0.032402756,0.034109861,0.044917689,0.055000377,0.070670171,226,37.93500105,-119.7721523,1.865005192,0.720629811,0.401845366,5,5,
0000ccfcc03624af6cdf_264,21.50607679,18.94881448,9.032376035,8.281134697,148,8.40006E+11,2349,1.789191041,1.861792734,1.86293816,1.828768799,0.708922386,0.713432491,0.700524211,0.686983764,0.377198756,0.378525168,0.373723686,0.35724619,0.25192582,0.226358661,0.235780236,0.270240283,0.059225149,0.055348105,0.055593763,0.058994351,0.064623613,0.064428386,0.073145081,0.084681276,226,37.88837849,-119.7063956,1.954092786,0.711372554,0.390694708,5,4,
0000ccfcc03624af6cdf_265,6.917776234,15.85544036,4.946169751,5.091432129,347,8.40006E+11,1643,1.382836126,1.472991752,1.497381939,1.523125399,0.525363386,0.537248731,0.551442802,0.565303028,0.073534615,0.094562232,0.113962069,0.131022349,0.218901558,0.239736522,0.324939172,0.3476149,0.051768554,0.060473102,0.074731156,0.08505637,0.065903137,0.065631005,0.067371238,0.079206745,226,37.96518444,-119.8176968,1.100854701,0.462643683,0.040082753,5,20,
0000ccfcc03624af6cdf_266,33.06674809,36.3593749,16.88599467,17.71753233,12,8.40006E+11,1566,1.864802063,1.799737521,1.748660086,1.775259964,0.715720534,0.6959126,0.682991385,0.682773054,0.414525241,0.386672854,0.357634515,0.351952225,0.146396781,0.180235639,0.196979263,0.199471964,0.01664501,0.023740389,0.041484213,0.039226366,0.033324726,0.051318857,0.082159331,0.07792127,226,37.93958246,-119.9289981,1.941919192,0.721787214,0.41378054,5,11,
0000ccfcc03624af6cdf_268,11.36929126,8.072677456,5.519901439,4.315593393,186,8.40006E+11,1799,1.916948329,1.91230276,1.910207878,1.933984238,0.697731972,0.702367425,0.703641236,0.702983499,0.344993293,0.336711287,0.342873037,0.347687721,0.183574602,0.241141985,0.209258236,0.22048594,0.029937223,0.046265839,0.040041664,0.039896959,0.045667982,0.064220319,0.059250918,0.063659909,226,37.84364238,-119.7891304,1.921692644,0.719925225,0.389814764,5,21,
0000ccfcc03624af6cdf_269,23.25599177,11.25945594,3.894654099,7.889469917,204,8.40006E+11,2120,1.732784947,1.805366656,1.842683045,1.826370909,0.696785629,0.709693134,0.716083109,0.714945138,0.417628109,0.41671297,0.423966646,0.42190516,0.147331934,0.160132899,0.163392646,0.166031579,0.016272848,0.022328704,0.024856721,0.025558483,0.039763789,0.045618943,0.050832412,0.053143034,226,37.9277247,-119.7540961,1.705555556,0.69245553,0.384474874,5,17,
0000ccfcc03624af6cdf_271,18.82510656,17.6078739,8.849033697,8.920464794,158,8.40006E+11,1409,1.835203653,1.890081471,1.93297259,1.961406529,0.710333765,0.724206448,0.728863478,0.736534953,0.300404638,0.328503013,0.324584186,0.332400888,0.126505317,0.170864801,0.17472064,0.187584785,0.019451981,0.029822364,0.031318246,0.034079403,0.038957481,0.045674388,0.050280381,0.055990325,226,37.95467415,-119.9004317,1.94379845,0.746585727,0.33876127,5,18,
0000ccfcc03624af6cdf_272,0.830119482,12.02784639,6.87924606,4.18138884,144,8.40006E+11,2374,1.326683534,1.428492957,1.49129042,1.547429979,0.575628877,0.594768405,0.612756133,0.62344569,0.156334221,0.19523263,0.238221586,0.263658345,0.144322731,0.192873666,0.207349434,0.218352337,0.036071651,0.041181077,0.040930834,0.041518481,0.066113277,0.089523314,0.093418893,0.090622756,226,37.89403787,-119.6880699,1.274229894,0.559750795,0.103897072,5,8,
0000ccfcc03624af6cdf_273,5.721166062,22.09795462,2.497416,1.569304012,40,8.40006E+11,1556,1.165043489,1.315137317,1.451769709,1.531705196,0.451186657,0.507734478,0.554941714,0.587518156,-0.041045882,0.012047022,0.074380502,0.118680745,0.177418211,0.321824209,0.393570149,0.411646296,0.068660994,0.103629655,0.119193396,0.122792727,0.080975525,0.126393499,0.162206711,0.165249238,226,37.95656062,-119.833597,0.996524761,0.379927129,-0.129539952,5,4,
0000ccfcc03624af6cdf_274,27.67017833,16.75880321,9.479111386,11.06100197,232,8.40006E+11,1888,1.982467468,2.019050173,2.002351084,2.066424914,0.720133841,0.726286113,0.726210475,0.727349043,0.467326969,0.463227689,0.467538983,0.470624238,0.206641724,0.235810792,0.244110923,0.27191577,0.032592748,0.027197272,0.030871818,0.03075903,0.07370949,0.067113419,0.070604233,0.068655638,226,37.90805159,-119.7670319,2.059438471,0.726109862,0.480477571,5,1,
0000ccfcc03624af6cdf_275,15.87031946,10.02588815,8.286285317,5.011204296,352,8.40006E+11,1496,2.273197519,2.18104448,2.126013368,2.090573955,0.718795896,0.716466606,0.72204423,0.723679125,0.391545892,0.382370442,0.379994839,0.373344451,0.185821883,0.2433648,0.252982357,0.262718572,0.023986559,0.025037429,0.025633976,0.030345275,0.029843756,0.045444844,0.051171757,0.059973933,226,37.86601044,-119.8371004,2.362577357,0.73363179,0.385268033,5,17,
