system:index,RdEVI,RdNBR,RdNBR2,RdNDVI,aspect,date,elev,focal_mean_evi_1,focal_mean_evi_2,focal_mean_evi_3,focal_mean_evi_4,focal_mean_ndvi_1,focal_mean_ndvi_2,focal_mean_ndvi_3,focal_mean_ndvi_4,focal_mean_ndwi_1,focal_mean_ndwi_2,focal_mean_ndwi_3,focal_mean_ndwi_4,het_evi_1,het_evi_2,het_evi_3,het_evi_4,het_ndvi_1,het_ndvi_2,het_ndvi_3,het_ndvi_4,het_ndwi_1,het_ndwi_2,het_ndwi_3,het_ndwi_4,julian_day,lat,lon,median_evi,median_ndvi,median_ndwi,satellite,slope,.geo
0000a86d41c6658b4cbb_197,18.578987259844105,20.431826274545816,10.208080944034199,8.378475600160247,224,557305200000,1833,1.232519894507445,1.1939855087121796,1.160686291764418,1.0896259807041928,0.4908788204193115,0.47383394837379456,0.46432292461395264,0.4395873248577118,0.093132883310318,0.07655631005764008,0.06920167058706284,0.03906337171792984,0.09227347357510982,0.19737118973233372,0.2104237711169522,0.23430416664704093,0.028333157099813964,0.06010023534148493,0.0688720611463245,0.07843528422532775,0.050377761332667345,0.08485090176440271,0.10005767160746004,0.11124015670012116,241,40.085837333614855,-120.28958185648763,1.2582815073595652,0.527512788772583,0.14351965487003326,5,5,
0000a86d41c6658b4cbb_200,11.682363528507311,13.855878553549951,6.403451111273863,5.179567361051737,25,557305200000,1856,1.4019018143773905,1.3562382572207663,1.3242008120630726,1.2991126711777594,0.5386971235275269,0.5295450091362,0.5164347887039185,0.5052233934402466,0.15124814212322235,0.14417684078216553,0.13250619173049927,0.11760186403989792,0.30786739326966917,0.3375840712011565,0.3756242950834231,0.3923127914552124,0.07401562739409068,0.09425972100395275,0.10655524118306944,0.11508188941716173,0.1369566603679202,0.14849609697700594,0.15692518275758183,0.16461835228679528,241,40.16722469835608,-120.41624431154848,1.350536816539341,0.552014946937561,0.1616816520690918,5,17,
0000a86d41c6658b4cbb_202,5.733438246622201,6.0914281720155135,-0.707072538557281,1.4039027023440955,94,557305200000,1855,0.8542806707157256,0.8814268632878632,0.9115874294039783,0.9335105273104273,0.3695177733898163,0.3815902769565582,0.3882277309894562,0.394014835357666,-0.09916327148675919,-0.07646075636148453,-0.06574251502752304,-0.055771227926015854,0.09036604475554975,0.10487575928566417,0.11698257561008642,0.13777558469195728,0.03364929042394918,0.031209908314208747,0.03392177591357819,0.04018913638339811,0.03909369027207142,0.037120045082580204,0.04128784051940159,0.05179879090829665,241,40.10416296541089,-120.26263239796404,0.7674384738604922,0.3309068977832794,-0.10053344070911407,5,13,
0000a86d41c6658b4cbb_204,14.82620194022965,36.07989582933274,11.158868091401732,8.713151968668573,204,557305200000,1835,0.8048595771985263,0.8235222773168813,0.8586030083446504,0.8937798675940929,0.38576579093933105,0.3870199918746948,0.4005591869354248,0.41010093688964844,-0.06581280380487442,-0.05887165665626526,-0.04864388704299927,-0.03750843554735184,0.05591355851912392,0.08200787966343334,0.11438854802083959,0.12126787092763966,0.01903824361153798,0.02806074086369639,0.036108512286071814,0.03989041615232105,0.029465976229839118,0.038367986459598144,0.04716031214348258,0.054532794606516194,241,40.1192546621841,-120.36854376996173,0.8242114315312308,0.3920029401779175,-0.045492447912693024,5,6,
0000a86d41c6658b4cbb_208,25.584576708856314,34.89873553084827,17.024738690672,12.851145306955615,253,557305200000,1849,1.1607964249439995,1.163093669861122,1.1314322520892612,1.1317394625779937,0.46184298396110535,0.45990729331970215,0.45238301157951355,0.4449087679386139,0.05361605063080788,0.05654177814722061,0.05312998965382576,0.048808902502059937,0.15425841412429775,0.2357455194592773,0.2826699686695723,0.3285811113690734,0.03869992362634013,0.0588339316623539,0.07678308784685606,0.09442461146143231,0.040360125257612636,0.07539522372699146,0.08578408946537361,0.09619787428929918,241,40.13165141310495,-120.43915135129353,1.1045155819376724,0.47363635897636414,0.06381697952747345,5,6,
0000a86d41c6658b4cbb_209,20.146861009332216,22.240549727681046,9.050313042412009,10.680147890774746,286,557305200000,1914,1.0972908715423357,1.2674174476354203,1.4383552567117728,1.5623113668059914,0.4321637749671936,0.46411043405532837,0.5100038051605225,0.5360758304595947,0.08982948213815689,0.13712337613105774,0.1839275360107422,0.2135772407054901,0.13266837835277018,0.2857349896499477,0.39128041308277217,0.3749920076708261,0.03163830259112607,0.07173209139404668,0.09262505161672588,0.09357453192202238,0.04020344644697348,0.07971165731453522,0.10904645324539829,0.11824850417991253,241,40.12033264052504,-120.32785008759112,1.0985915492957747,0.40150994062423706,0.06147808954119682,5,25,
0000a86d41c6658b4cbb_214,11.619028854961691,11.096423393270623,7.276676299560094,4.608050321442896,245,557305200000,1965,1.3277477009120457,1.1974134972616077,1.1571030671895997,1.1417555054343773,0.49949610233306885,0.46694937348365784,0.45623379945755005,0.4492074251174927,0.14209511876106262,0.09286987781524658,0.07073706388473511,0.05286993831396103,0.29171078959410957,0.298072392756495,0.2538231287978057,0.24184488811452803,0.08709694120380868,0.09419348707598564,0.08055845122921446,0.07290666524465378,0.11337632917547463,0.1259895480184407,0.10871908424865163,0.10101284635536834,241,40.08529834444438,-120.31221940164744,1.3578113898194069,0.5493743419647217,0.2042372077703476,5,13,
0000a86d41c6658b4cbb_215,33.94846324012767,35.69514911386762,14.89922017037831,17.539580805439186,172,557305200000,1785,1.381189405921163,1.2759815183877934,1.2228664787223213,1.2039525135928182,0.550419807434082,0.520770788192749,0.4992688000202179,0.48652884364128113,0.17267003655433655,0.1364975869655609,0.10967779904603958,0.09242330491542816,0.11140284402597118,0.20226741999775727,0.2675981687742594,0.2676431514896995,0.03370416464145677,0.05902290026896513,0.07809815265623625,0.0855636196505444,0.03299562863855489,0.07145833113761207,0.09206880182449867,0.09286999873464437,241,40.11844617842839,-120.41678330071895,1.573892591140729,0.5915657877922058,0.20375984907150269,5,8,
0000a86d41c6658b4cbb_217,19.56906514152745,27.37973210073914,10.919343054093378,9.823477917435078,329,557305200000,1852,1.0892981187487203,1.0821870581866726,1.0476192339541273,0.9843147331225729,0.42591068148612976,0.4233471155166626,0.40540361404418945,0.38648033142089844,0.0375252366065979,0.04522892087697983,0.03708472102880478,0.027218714356422424,0.19718637068492295,0.26120738477900646,0.31907322572650454,0.3970965865667487,0.06212425534892604,0.076582306742837,0.10250881858168281,0.12698737596638612,0.07870913880840935,0.09565902893881653,0.10747069769391247,0.11643241758632111,241,40.08206440942155,-120.28850387814668,1.1309161905289642,0.4530458152294159,0.0661633312702179,5,16,
0000a86d41c6658b4cbb_218,2.7191088702325787,5.932377396411777,4.660881152966038,1.5184651916021292,340,557305200000,1913,1.2213363614146635,1.2038186159772981,1.2084949519591033,1.2102884658486348,0.48307305574417114,0.4783782958984375,0.479699969291687,0.47065305709838867,0.06982462108135223,0.0627199113368988,0.06106092035770416,0.05844403803348541,0.2416632801938817,0.21036514506544446,0.19952895659996203,0.19851255877399618,0.07481469204472976,0.05786811863737949,0.05476438920630427,0.059433052890211745,0.08366257408201946,0.06805232701026659,0.06526708953507118,0.06803167326495524,241,40.09769509536523,-120.25508654957744,1.2997881355932204,0.5198850035667419,0.07456762343645096,5,7,
