fire_id,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day
0000cfa30b2505b18042,1,CA,NPS,YNP,ELEANOR,00000052,1,,1441.00841310152,1441.01416015625,4,2,00000052,583.157745747954,0,7209,1986,9,27,1986,10,4
000081d9495ad0e080f0,1,CA,NPS,KNP,BALDY,00000000,1,,425,402.602935791016,8,2,00000043,162.927624763798,0,1833,1986,10,2,1987,1,5
00005c703eed59ce1a51,1,CA,USF,TNF,RELIEF,00000000,1,,40,53.1940231323242,,1,00000120,21.5268579616012,0,228,1986,10,17,1986,10,22
0000f85a585a169ec0ff,1,CA,USF,ENF,,00000000,5,,420,551.662109375,8,1,00000082,223.249735988549,0,3050,1986,10,29,1986,11,5
00007af403e081126639,1,CA,USF,SNF,BROWNCONE,00000000,5,,55,36.2448616027832,8,1,00000125,14.6677750772771,0,194,1986,12,26,1986,12,29
0000bcdff76b2b4ee82a,1,CA,USF,ENF,,00000000,5,,20,16.9035930633545,8,1,00000006,6.84064108173167,0,61,1987,4,22,1987,4,22
0000fa15596fe323ff5b,1,CA,USF,STF,CALF,,1,20090305,4929,4929.29296875,8,1,00000026,1994.81407013836,0,21255,1987,5,8,1987,5,8
0000814c45f31d732e90,1,CA,NPS,KNP,HALSTEAD3,00000000,1,,750,981.172485351562,8,2,00000032,397.066424904947,0,5080,1987,6,1,1987,9,30
0000b35a3b0e949c94d5,1,CA,USF,TOI,,00000000,1,,,1000.95910644531,,1,00000032,405.073772359431,0,2334,1987,6,13,1987,6,13
0000aad6d2f273079354,1,CA,USF,SNF,CHAWANAKEE,00000000,9,,951,1487.0078125,,1,00000087,601.770705976688,0,1357,1987,6,22,1987,6,26
00004cb43e2707c76eea,1,CA,USF,TNF,INDIAN,00000000,1,,18,18.9524822235107,,1,00000086,7.66979781477098,0,115,1987,6,26,1987,6,28
