"id","response","time_window","interpolation","a","b","c","r2_kfold","r2_all","unchanged","low_sev","mod_sev","hi_sev"
28,"RBR",64,"bilinear",0.0170795033643733,0.0273667519058682,1.00332913870417,0.801592211417345,0.808901184613579,0.0444462552702416,0.0473345123286439,0.112997177827064,0.278680231920268
29,"RdNBR",16,"bicubic",0.369905027775026,2.44605668863365,0.925574166011173,0.758259682826849,0.775005384093787,2.81596171640868,3.05317081411727,8.14903824695135,19.9991213802396
30,"dNBR",16,"bicubic",0.0316745848949864,0.0362064141208525,1.05801859885689,0.729386254173823,0.771371588637426,0.0678809990158389,0.0719216928277457,0.167552872012535,0.423093404353021
31,"RdNBR2",16,"bicubic",1.87112781063855,0.467195972871347,1.19801560558786,0.654266003678169,0.663009939246928,2.33832378350989,2.39778527913769,3.95976760867653,8.79190895475829
32,"dNBR2",16,"bicubic",0.0294922774211436,0.00860113605425493,1.15552539880248,0.634745238354699,0.659268490143964,0.0380934134753985,0.039146996637231,0.0659553866116499,0.145287862750007
33,"RdNDVI",16,"bicubic",-1.24772991106807,2.68113087786766,0.664919419673189,0.724769284683874,0.761187129153079,1.43340096679959,1.61773502067039,4.90802836902487,10.7211192235795
34,"dNDVI",16,"bicubic",-0.0299793110844363,0.0651324165982346,0.673614323542387,0.725509321002546,0.730280867014665,0.0351531055137983,0.0396916642611534,0.121196017625489,0.266522878762496
35,"RBR",16,"bicubic",0.0206404746293701,0.0258027500823261,1.0280035687133,0.761143060672941,0.794670990630422,0.0464432247116962,0.0492368917780484,0.11390926462108,0.281371444304993
36,"RdNBR",32,"bicubic",-0.954269585758239,3.34039405756826,0.84084525704439,0.775908253458675,0.771053879129215,2.38612447181002,2.67914661204467,8.60150225006564,21.1991221311839
37,"dNBR",32,"bicubic",0.0277353146868409,0.0361254241220761,1.05710383389062,0.764186378559778,0.777534767475099,0.063860738808917,0.0678887207463094,0.163154721422998,0.417475573039755
38,"RdNBR2",32,"bicubic",1.42560304055903,0.600558320541691,1.12507366882789,0.754188722582073,0.776676691617738,2.02616136110072,2.09767614680093,3.87648161926312,8.97539669729894
39,"dNBR2",32,"bicubic",0.0254130049311068,0.00825558673214359,1.17664640767821,0.715245750744074,0.745059698546972,0.0336685916632504,0.034699440473179,0.0613475165596294,0.141965825779658
40,"RdNDVI",32,"bicubic",-2.73720120725243,3.30826218685799,0.619138247021401,0.803327932333507,0.817730391809947,0.571060979605561,0.782361873586428,4.43595562546856,10.5856951836719
41,"dNDVI",32,"bicubic",-0.0579294414244268,0.0729251748986633,0.650140313576956,0.776104740832831,0.785614390346738,0.0149957334742366,0.0198944090400996,0.106438803415755,0.256968823962589
42,"RBR",32,"bicubic",0.0133754550319357,0.0289388035799845,0.993516718659375,0.789671195952123,0.819990038342001,0.0423142586119202,0.0453370508320207,0.11356654650827,0.283963083536636
43,"RdNBR",48,"bicubic",-0.858206671325249,3.21873352125769,0.85179290053117,0.785064375725802,0.797884758599499,2.36052684993244,2.64671178710952,8.47640420243572,21.0206777932549
44,"dNBR",48,"bicubic",0.0298054000771344,0.0345484966698016,1.06942754746244,0.774938895078766,0.774196535448881,0.064353896746936,0.0682534044329571,0.161324024458689,0.413012670688959
45,"RdNBR2",48,"bicubic",1.83462061722164,0.459853280068764,1.20906605420256,0.75108232706167,0.771420473108924,2.29447389729041,2.35357401544319,3.9190283856941,8.81812481740307
46,"dNBR2",48,"bicubic",0.033079601964023,0.00583834595673392,1.28408777902214,0,0.734794231455755,0.0389179479207569,0.0397179046288182,0.062145257467431,0.138046498875136
47,"RdNDVI",48,"bicubic",-2.62308274945297,3.62424656958603,0.586646195564038,0.796726491186063,0.815966770110677,1.00116382013306,1.22013912027879,4.92243844747142,10.943374450449
48,"dNDVI",48,"bicubic",-0.0550583662337859,0.0810816524383765,0.612894494550622,0.772337080817378,0.773375918627714,0.0260232862045905,0.0311481829312601,0.119380583105899,0.266915156445702
49,"RBR",48,"bicubic",0.0138807583632596,0.0282429404112983,1.00081620566388,0.819992036023252,0.817326837045755,0.0421236987745579,0.0450965824960402,0.112558932290622,0.282334869785139
50,"RdNBR",64,"bicubic",-1.44821902333916,3.65144704702033,0.819082755809222,0.736559047027664,0.682393132927438,2.20322802368116,2.51490185650145,8.71705073848207,21.6108638063836
51,"dNBR",64,"bicubic",0.033093676006792,0.0329646474954319,1.08608823499828,0.753038236930005,0.77004925314683,0.0660583235022238,0.0698402325847512,0.161223755375211,0.412699810855648
52,"RdNBR2",64,"bicubic",2.10204896226448,0.415571175453841,1.23954456254185,0.765700772533879,0.765107787077423,2.51762013771832,2.57246070360736,4.05888582598591,8.86104177728425
53,"dNBR2",64,"bicubic",0.037193962554452,0.0052894484962377,1.31258005674183,0,0.722813124022761,0.0424834110506897,0.0432253193446198,0.0644817445849725,0.138588489427072
54,"RdNDVI",64,"bicubic",-2.52366402700316,3.56981697874331,0.589643176419893,0.804924333369644,0.809084035373226,1.04615295174015,1.26297431942578,4.9364320907038,10.9294616980614
55,"dNDVI",64,"bicubic",-0.0552004770046598,0.0815885032649935,0.609235889391832,0.745895409026334,0.764709084505613,0.0263880262603337,0.031513228386492,0.11952800233942,0.266129677031513
56,"RBR",64,"bicubic",0.0156203642614424,0.027482399557227,1.01040641952738,0.804755797079603,0.813131728098475,0.0431027638186693,0.0460247366191662,0.112799283538916,0.282543364345701
