"id","response","time_window","interpolation","a","b","c","r2_kfold","r2_all","unchanged","low_sev","mod_sev","hi_sev"
22,"RdNBR",64,"bilinear",-13.2926483648665,95.8482140235675,0.862050470148249,0.790930334350234,0.800212024593876,82.555565658701,91.1847624197711,268.262665172173,653.433503117043
23,"dNBR",64,"bilinear",35.0802866812523,32.6719329167134,1.07991397645948,0.653589163274128,0.766715405735896,67.7522195979657,71.478066776597,161.096283695059,406.12509623382
24,"RdNBR2",64,"bilinear",64.0930018873742,14.276983536018,1.20368671096086,0.745918253917811,0.764742584184803,78.3699854233922,80.1961915606472,128.373551191633,278.300207540743
25,"dNBR2",64,"bilinear",36.1393734777799,5.64103400733983,1.28265854423589,0.638958323821527,0.723483838654394,41.7804074851198,42.5524123252724,64.1726026765848,137.233204730543
26,"RdNDVI",64,"bilinear",-67.6728971742369,103.945723068964,0.606568132197596,0.777965978176604,0.805368248823321,36.2728258947272,42.7729889373767,154.194309460638,339.259538840498
27,"dNDVI",64,"bilinear",-46.0348200577397,74.8796802139452,0.627076385290641,0.749971806541935,0.761826752695208,28.8448601562054,33.690736994426,117.942486422079,260.951881245075
28,"RBR",64,"bilinear",17.0796215010733,27.3666865133509,1.00332992928585,0.795682443164323,0.808901184046456,44.4463080144242,47.3345605632717,112.997161557925,278.680190302216
29,"RdNBR",16,"bicubic",11.6923445875406,77.3542821873489,0.925561565346001,0.763202588631374,0.775005386630232,89.0466267748896,96.5480383427141,257.696368545236,632.430571745816
30,"dNBR",16,"bicubic",31.6733965224639,36.20705748176,1.05801282767361,0.760074534806537,0.771371581886731,67.8804540042239,71.9211963884889,167.553117858574,423.094088506017
31,"RdNBR2",16,"bicubic",59.1719392786504,14.7732677705474,1.19803312414747,0.63808091347883,0.663009941285504,73.9452070491979,75.8254763113463,125.218550344246,278.023532849866
32,"dNBR2",16,"bicubic",29.4918444353306,8.60134380523856,1.15551731518906,0.561794094311909,0.659268494725801,38.0931882405692,39.1467890458572,65.9554659030084,145.28812054233
33,"RdNDVI",16,"bicubic",-39.4557416784554,84.7840997206711,0.664921818684929,0.730974964207801,0.761187130399704,45.3283580422156,51.1574860483547,155.205396751206,339.031405091039
34,"dNDVI",16,"bicubic",-29.9794365386856,65.1325157745028,0.673613896649572,0.658800989047312,0.730280867066261,35.1530792358173,39.6916419197673,121.196041694233,266.522919994935
35,"RBR",16,"bicubic",20.640425568876,25.8027779204748,1.02800321393045,0.740778211281376,0.794670986532356,46.4432034893508,49.2368725551901,113.909274823955,281.3714684111
36,"RdNBR",32,"bicubic",-30.1737118086517,105.630588323464,0.840851081512484,0.765068345576522,0.771053876292073,75.456876514812,84.7229463480237,272.00295729803,670.374315492992
37,"dNBR",32,"bicubic",27.7360651739432,36.1250240252266,1.05710749003558,0.718906495638187,0.777534767085081,63.8610891991698,67.8890412063024,163.154590996803,417.475213177749
38,"RdNBR2",32,"bicubic",45.0834990067457,18.9903505117918,1.1250907618109,0.739747513888233,0.776676693262389,64.0738495185375,66.3352662975545,122.584777632583,283.825910953072
39,"dNBR2",32,"bicubic",25.4127136477235,8.25572164394202,1.17664091909289,0.720190005346023,0.745059701492385,33.6684352916655,34.6992958505793,61.3475659734581,141.965999825992
40,"RdNDVI",32,"bicubic",-86.5568949756842,104.615646462873,0.619140404297008,0.788889359603091,0.81773040062493,18.0587514871884,24.7406460301894,140.277140672664,334.748946348299
41,"dNDVI",32,"bicubic",-57.9294941654417,72.9252159359998,0.650140162177884,0.765677389548345,0.78561440006013,14.995721770558,19.8943989148165,106.438812063512,256.968841155456
42,"RBR",32,"bicubic",13.377318250029,28.9377380955419,0.993528685101305,0.785376832661731,0.8199900397457,42.3150563455709,45.3377755161535,113.56621945647,283.962269378725
43,"RdNBR",48,"bicubic",-27.1378051076784,101.784587849441,0.851795086230472,0.787171096237157,0.797884753693733,74.6467827417625,83.6967067758621,268.047276258557,664.731892963522
44,"dNBR",48,"bicubic",29.8071115127969,34.5475966538058,1.06943614910275,0.752841714145886,0.774196531772091,64.3547081666027,68.2541473380699,161.323723794541,413.011815622003
45,"RdNBR2",48,"bicubic",58.0173216118897,14.5411599692908,1.20908176934951,0.728808727366661,0.77142046594841,72.5584815811805,74.4273301214889,123.930306305131,278.852633305589
46,"dNBR2",48,"bicubic",33.0798561784089,5.83824328961295,1.28409374033144,0.697579838514564,0.734794219912345,38.9180994680219,39.7180460661,62.1452171469256,138.046315150101
47,"RdNDVI",48,"bicubic",-82.9501288438588,114.609537428568,0.586644143800634,0.795850583336445,0.815966782028752,31.6594085847088,38.584038849824,155.661251344696,346.059922347543
48,"dNDVI",48,"bicubic",-55.0590555920594,81.082200286779,0.612892685493847,0.72504909461337,0.773375933144986,26.0231446947196,31.1480604536736,119.38067792321,266.91533202177
49,"RBR",48,"bicubic",13.8808242070448,28.2429036902225,1.00081663201538,0.80649598948364,0.817326835189275,42.1237278972673,45.0966090843374,112.558922423857,282.334844114018
50,"RdNBR",64,"bicubic",-45.7988464552377,115.470342112339,0.819078808906929,0.748543585246541,0.682393121112146,69.6714956571009,79.5275617647361,275.65765310011,683.396046228785
51,"dNBR",64,"bicubic",33.0931262539505,32.9649306712543,1.08608538635745,0.741182070228407,0.77004925684708,66.0580569252047,69.8399880275585,161.223850047852,412.700088952352
